2025-12-30 16:13:34,908 [INFO] All processes have finished.
2025-12-30 16:13:34,908 [INFO] [timer] main TOTAL (single process): 732.300s
2025-12-30 16:21:02,594 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=0.38
2025-12-30 16:21:02,604 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=0.52
2025-12-30 16:21:02,612 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=0.76
2025-12-30 16:21:02,619 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=0.78
2025-12-30 16:21:02,626 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=1.02
2025-12-30 16:21:02,632 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=1.06
2025-12-30 16:21:02,642 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=1.53
2025-12-30 16:21:02,647 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=1.62
2025-12-30 16:21:02,653 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=2.06
2025-12-30 16:21:02,658 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=2.25
2025-12-30 16:21:02,664 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=3.12
2025-12-30 16:21:02,669 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=3.5
2025-12-30 16:21:02,676 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=4.25
2025-12-30 16:21:02,682 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=5.0
2025-12-30 16:21:02,688 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=6.5
2025-12-30 16:21:02,695 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=8.0
2025-12-30 16:21:02,702 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=9.0
2025-12-30 16:21:02,711 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=12.0
2025-12-30 16:21:02,719 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=14.0
2025-12-30 16:21:02,729 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=20.0
2025-12-30 16:21:02,737 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=24.0
2025-12-30 16:21:02,746 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=28.0
2025-12-30 16:21:02,755 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=32.0
2025-12-30 16:21:02,770 [INFO] memory_bandwidth=400, global_buffer_bandwidth=10, buffer_size=40.0
2025-12-30 16:21:02,786 [INFO] memory_bandwidth=400, global_buffer_bandwidth=122, buffer_size=0.38
2025-12-30 16:21:02,803 [INFO] memory_bandwidth=400, global_buffer_bandwidth=122, buffer_size=0.52
2025-12-30 16:21:02,820 [INFO] memory_bandwidth=400, global_buffer_bandwidth=122, buffer_size=0.76
2025-12-30 16:21:02,836 [INFO] memory_bandwidth=400, global_buffer_bandwidth=122, buffer_size=0.78
2025-12-30 16:21:02,852 [INFO] memory_bandwidth=400, global_buffer_bandwidth=122, buffer_size=1.02
